Date,Returns
2020-01-03,0.019254589044476925
2020-01-06,0.03880038920819363
2020-01-07,0.049204674410851384
2020-01-08,-0.021944899761075845
2020-01-09,-0.006627273864116927
2020-01-10,0.09768865783891405
2020-01-13,0.02488271093136471
2020-01-14,-0.03610189368277811
2020-01-15,-0.009662417011896645
2020-01-16,-0.005822860747327532
2020-01-17,0.07189004962760591
2020-01-21,0.04086250333516793
2020-01-22,0.0046351008383545035
2020-01-23,-0.012897580959404987
2020-01-24,-0.012039307838793907
2020-01-27,0.015913386231853614
2020-01-28,0.024854456786724283
2020-01-29,0.10296188849449094
2020-01-30,0.015230591317515297
2020-01-31,0.1989479311550751
2020-02-03,0.1372559896457796
2020-02-04,-0.17175778259712723
2020-02-05,0.019409277899508734
2020-02-06,-0.001188339844901401
2020-02-07,0.031026439913321085
2020-02-10,0.00401923721230058
2020-02-11,-0.009155596232571738
2020-02-12,0.047843472650957945
2020-02-13,-0.004937737252759341
2020-02-14,0.07295945036205884
2020-02-18,0.06875560232213539
2020-02-19,-0.01963106888982687
2020-02-20,0.0017677441312506238
2020-02-21,-0.07459476396825536
2020-02-24,-0.040633666260656696
2020-02-25,-0.026390352951454175
2020-02-26,-0.12814554812634585
2020-02-27,-0.016214961030886012
2020-02-28,0.11322009535475308
2020-03-02,0.002541491990228744
2020-03-03,0.005352122980309502
2020-03-04,-0.03330221680962221
2020-03-05,-0.029066655864838607
2020-03-06,-0.13572501884750565
2020-03-09,0.06139796338743999
2020-03-10,-0.017200484665126616
2020-03-11,-0.11617230927636786
2020-03-12,-0.02485015837625671
2020-03-13,-0.18577779176048423
2020-03-16,-0.03341017687194915
2020-03-17,-0.16034358482473818
2020-03-18,0.18387624156943097
2020-03-19,-0.0002572554923902075
2020-03-20,0.015811663240340314
2020-03-23,0.16281717383744682
2020-03-24,0.06782150603082368
2020-03-25,-0.0205654191766643
2020-03-26,-0.02612842095844662
2020-03-27,-0.02377695000507095
2020-03-30,0.04355430604745515
2020-03-31,-0.0809922278856185
2020-04-01,-0.05625441035171736
2020-04-02,0.056197114824632195
2020-04-03,0.07547751995507085
2020-04-06,0.05658203917460213
2020-04-07,0.006215038186480758
2020-04-08,0.04401999668612697
2020-04-09,0.1360379434920544
2020-04-13,0.09054437568609093
2020-04-14,0.028088750560280363
2020-04-15,0.021073383753218478
2020-04-16,0.011647697676006721
2020-04-17,-0.009988251808853706
2020-04-20,-0.07990760693813136
2020-04-21,0.06609669215315267
2020-04-22,-0.03616932919161135
2020-04-23,0.027663192447562237
2020-04-24,0.10149587743595832
2020-04-27,-0.03709540881655402
2020-04-28,0.040812862838193784
2020-04-29,-0.02327255616102229
2020-04-30,-0.10303343885708471
2020-05-01,0.08536729976368337
2020-05-04,0.009222438390035122
2020-05-05,0.01870578298814645
2020-05-06,-0.003245655093758733
2020-05-07,0.050484420215104325
2020-05-08,-0.00992159452840268
2020-05-11,-0.0023173222187340137
2020-05-12,-0.02279432330458731
2020-05-13,0.01563916702713755
2020-05-14,-0.00517840706391247
2020-05-15,0.018093792794308183
2020-05-18,-0.006907329807534595
2020-05-19,0.009344011309487981
2020-05-20,0.014762759441969338
2020-05-21,-0.012953029478779429
2020-05-22,0.09942675471149537
2020-06-01,-0.018416540634529997
2020-06-02,0.0015880550618260442
2020-06-03,-0.021042792774009226
2020-06-04,0.024618784650663843
2020-06-05,0.07255583676535843
2020-06-08,-0.009737520900023205
2020-06-09,0.0897017817887573
2020-06-10,-0.05093408080867517
2020-06-11,-0.038608464809794865
2020-06-12,0.05946857873308063
2020-06-15,-0.008850417548185836
2020-06-16,0.00983570240656595
2020-06-17,0.012270689956653244
2020-06-18,-0.0030478455208226285
2020-06-19,-0.006574023391562247
2020-06-22,0.007502569275597458
2020-06-23,-0.0408572094311467
2020-06-24,0.026153948736587367
2020-06-25,-0.0266131709040964
2020-06-26,0.05169096446443315
2020-06-29,0.06980712489200408
2020-06-30,0.036876718940685387
2020-07-01,0.07951709041173709
2020-07-02,0.13479356889808325
2020-07-06,0.013327615605982602
2020-07-07,-0.01725338022418308
2020-07-08,0.020792420823807795
2020-07-09,0.10784740065593328
2020-07-10,-0.030809511988769953
2020-07-13,0.013185856174292037
2020-07-14,0.019257501853601085
2020-07-15,-0.02934641236260735
2020-07-16,0.00013329648013187478
2020-07-17,0.09472003842256586
2020-07-20,-0.04542893486833911
2020-07-21,0.015283429979112053
2020-07-22,-0.04977606721322653
2020-07-23,-0.06349313096694319
2020-07-24,0.08652058856018204
2020-07-27,-0.040991040130287586
2020-07-28,0.015320089048462309
2020-07-29,-0.006356845950956459
2020-08-06,-0.02475187806273733
2020-08-07,-0.02350083826593965
2020-08-10,-0.03114401177293844
2020-08-11,0.1312360052693684
2020-08-12,0.04260450300318509
2020-08-13,0.018328126981373066
2020-08-14,0.11203020898781
2020-08-17,0.028028312253324167
2020-08-18,-0.004536057777682504
2020-08-19,0.06563624023827377
2020-08-20,0.024052875116967357
2020-08-21,-0.017453713165502774
2020-08-24,0.004537777708370164
2020-08-25,0.06416604815623295
2020-08-26,0.03974592087758068
2020-08-27,-0.011323245324306062
2020-08-28,0.12568862271542797
2020-08-31,-0.046696685346844985
2020-09-01,-0.05826732463408869
2020-09-02,-0.09023830899589412
2020-09-03,0.027813097347418547
2020-09-04,-0.21062762969917492
2020-09-08,0.10923319982927963
2020-09-09,0.013814470617297618
2020-09-10,0.0037162266996368333
2020-09-11,0.12583136556090302
2020-09-14,0.07182666155032254
2020-09-15,-0.01778730154269293
2020-09-16,-0.04149302895602644
